sample,time_s,raw_u16,code12,voltage_V
394,0.197013000,9154,572,0.460948
395,0.197513000,20645,1290,1.039574
396,0.198012000,40553,2534,2.042037
397,0.198512000,55997,3499,2.819716
398,0.199012000,58094,3630,2.925310
399,0.199511000,45803,2862,2.306400
400,0.200011000,26150,1634,1.316777
401,0.200511000,10834,677,0.545544
402,0.201010000,8642,540,0.435166
403,0.201510000,20965,1310,1.055688
404,0.202010000,40457,2528,2.037203
405,0.202509000,55901,3493,2.814882
406,0.203009000,58094,3630,2.925310
407,0.203509000,45851,2865,2.308817
408,0.204009000,25574,1598,1.287773
409,0.204508000,10930,683,0.550378
410,0.205008000,8562,535,0.431138
411,0.205508000,20725,1295,1.043603
412,0.206014000,40665,2541,2.047677
413,0.206513000,55949,3496,2.817299
414,0.207013000,58110,3631,2.926116
415,0.207513000,45787,2861,2.305594
416,0.208012000,26102,1631,1.314360
417,0.208513000,10818,676,0.544738
418,0.209012000,8706,544,0.438389
419,0.209511000,20965,1310,1.055688
420,0.210011000,40553,2534,2.042037
421,0.210511000,55901,3493,2.814882
422,0.211010000,58046,3627,2.922893
423,0.211510000,45851,2865,2.308817
424,0.212009000,26454,1653,1.332085
425,0.212509000,10466,654,0.527013
426,0.213008000,8610,538,0.433555
427,0.213508000,19924,1245,1.003268
428,0.214014000,40601,2537,2.044454
429,0.214508000,55901,3493,2.814882
430,0.215013000,58030,3626,2.922088
431,0.215514000,45723,2857,2.302371
432,0.216013000,26022,1626,1.310332
433,0.216513000,10690,668,0.538293
434,0.217012000,8674,542,0.436777
435,0.217511000,20965,1310,1.055688
436,0.218012000,40537,2533,2.041231
437,0.218511000,56477,3529,2.843887
438,0.219012000,58110,3631,2.926116
439,0.219512000,45739,2858,2.303177
440,0.220012000,26534,1658,1.336113
441,0.220511000,10802,675,0.543932
442,0.221011000,8434,527,0.424692
443,0.221511000,21061,1316,1.060522
444,0.222011000,40553,2534,2.042037
445,0.222511000,55949,3496,2.817299
446,0.223011000,58286,3642,2.934978
447,0.223510000,45803,2862,2.306400
448,0.224010000,26246,1640,1.321611
449,0.224510000,10882,680,0.547961
450,0.225010000,8658,541,0.435972
451,0.225509000,20917,1307,1.053271
452,0.226009000,40441,2527,2.036397
453,0.226508000,55917,3494,2.815688
454,0.227008000,58654,3665,2.953509
455,0.227514000,45755,2859,2.303983
456,0.228014000,26166,1635,1.317583
457,0.228513000,10738,671,0.540710
458,0.229013000,8690,543,0.437583
459,0.229512000,20917,1307,1.053271
460,0.230012000,40553,2534,2.042037
461,0.230512000,55789,3486,2.809242
462,0.231012000,58174,3635,2.929338
463,0.231512000,45867,2866,2.309622
464,0.232012000,26054,1628,1.311943
465,0.232511000,10738,671,0.540710
466,0.233011000,8722,545,0.439194
467,0.233511000,21157,1322,1.065356
468,0.234010000,40521,2532,2.040426
469,0.234510000,55837,3489,2.811659
470,0.235010000,58190,3636,2.930144
471,0.235510000,45899,2868,2.311234
472,0.236009000,26406,1650,1.329668
473,0.236509000,11042,690,0.556017
474,0.237009000,8530,533,0.429526
475,0.237509000,20501,1281,1.032323
476,0.238009000,40473,2529,2.038009
477,0.238508000,56125,3507,2.826162
478,0.239014000,58110,3631,2.926116
479,0.239514000,45883,2867,2.310428
480,0.240014000,26038,1627,1.311138
481,0.240508000,10930,683,0.550378
482,0.241014000,8642,540,0.435166
483,0.241514000,21093,1318,1.062133
484,0.242014000,40697,2543,2.049288
485,0.242514000,55901,3493,2.814882
486,0.243008000,57998,3624,2.920476
487,0.243514000,45627,2851,2.297537
488,0.244014000,26262,1641,1.322417
489,0.244513000,10802,675,0.543932
490,0.245013000,8690,543,0.437583
491,0.245512000,20837,1302,1.049242
492,0.246013000,40457,2528,2.037203
493,0.246512000,55597,3474,2.799574
494,0.247011000,58110,3631,2.926116
495,0.247512000,45707,2856,2.301566
496,0.248011000,26230,1639,1.320806
497,0.248510000,10786,674,0.543127
498,0.249010000,8450,528,0.425498
499,0.249510000,20869,1304,1.050854
500,0.250010000,40441,2527,2.036397
501,0.250509000,56733,3545,2.856778
502,0.251008000,58014,3625,2.921282
503,0.251509000,45947,2871,2.313651
504,0.252008000,26262,1641,1.322417
505,0.252508000,10834,677,0.545544
506,0.253008000,8690,543,0.437583
507,0.253508000,20661,1291,1.040380
508,0.254014000,40713,2544,2.050094
509,0.254514000,55981,3498,2.818911
510,0.255013000,58286,3642,2.934978
511,0.255513000,45659,2853,2.299148
512,0.256013000,26022,1626,1.310332
513,0.256513000,10802,675,0.543932
514,0.257013000,8690,543,0.437583
515,0.257513000,20949,1309,1.054882
516,0.258012000,40489,2530,2.038814
517,0.258512000,55725,3482,2.806020
518,0.259012000,57886,3617,2.914836
519,0.259512000,45739,2858,2.303177
520,0.260012000,26086,1630,1.313555
521,0.260511000,10802,675,0.543932
522,0.261011000,8578,536,0.431943
523,0.261511000,21029,1314,1.058910
524,0.262011000,40633,2539,2.046066
525,0.262510000,55869,3491,2.813270
526,0.263010000,58078,3629,2.924504
527,0.263510000,45755,2859,2.303983
528,0.264010000,25862,1616,1.302275
529,0.264510000,10914,682,0.549572
530,0.265010000,8610,538,0.433555
531,0.265510000,20853,1303,1.050048
532,0.266010000,40489,2530,2.038814
533,0.266510000,55901,3493,2.814882
534,0.267009000,58126,3632,2.926921
535,0.267510000,46043,2877,2.318485
536,0.268009000,26150,1634,1.316777
537,0.268508000,10866,679,0.547155
538,0.269009000,8658,541,0.435972
539,0.269508000,20805,1300,1.047631
540,0.270008000,40441,2527,2.036397
541,0.270508000,55981,3498,2.818911
542,0.271008000,58174,3635,2.929338
543,0.271514000,45915,2869,2.312039
544,0.272014000,26006,1625,1.309526
545,0.272514000,10706,669,0.539098
546,0.273013000,8626,539,0.434360
547,0.273513000,21013,1313,1.058105
548,0.274013000,40585,2536,2.043648
549,0.274513000,55789,3486,2.809242
550,0.275012000,57998,3624,2.920476
551,0.275511000,45643,2852,2.298343
552,0.276011000,26166,1635,1.317583
553,0.276511000,10818,676,0.544738
554,0.277011000,8658,541,0.435972
555,0.277510000,20821,1301,1.048437
556,0.278010000,40345,2521,2.031563
557,0.278510000,55645,3477,2.801991
558,0.279009000,58062,3628,2.923699
559,0.279509000,46203,2887,2.326542
560,0.280010000,26038,1627,1.311138
561,0.280510000,10914,682,0.549572
562,0.281009000,8546,534,0.430332
563,0.281509000,20949,1309,1.054882
564,0.282009000,40489,2530,2.038814
565,0.282508000,55821,3488,2.810854
566,0.283008000,58030,3626,2.922088
567,0.283508000,45835,2864,2.308011
568,0.284014000,26102,1631,1.314360
569,0.284514000,10738,671,0.540710
570,0.285014000,8514,532,0.428721
571,0.285514000,19940,1246,1.004074
572,0.286013000,40633,2539,2.046066
573,0.286512000,55917,3494,2.815688
574,0.287012000,57982,3623,2.919670
575,0.287512000,45707,2856,2.301566
576,0.288012000,26134,1633,1.315972
577,0.288511000,10850,678,0.546349
578,0.289011000,8514,532,0.428721
579,0.289511000,20997,1312,1.057299
580,0.290010000,40521,2532,2.040426
581,0.290510000,55917,3494,2.815688
582,0.291010000,58110,3631,2.926116
583,0.291510000,45835,2864,2.308011
584,0.292009000,26262,1641,1.322417
585,0.292509000,10834,677,0.545544
586,0.293009000,8578,536,0.431943
587,0.293509000,20869,1304,1.050854
588,0.294009000,40457,2528,2.037203
589,0.294509000,55869,3491,2.813270
590,0.295008000,58622,3663,2.951897
591,0.295508000,46075,2879,2.320096
592,0.296014000,26502,1656,1.334502
593,0.296513000,10610,663,0.534264
594,0.297013000,8338,521,0.419858
595,0.297513000,20805,1300,1.047631
596,0.298013000,40665,2541,2.047677
597,0.298513000,56013,3500,2.820522
598,0.299014000,58142,3633,2.927727
599,0.299513000,45819,2863,2.307205
600,0.300013000,25894,1618,1.303886
601,0.300513000,10770,673,0.542321
602,0.301012000,8786,549,0.442417
603,0.301512000,20933,1308,1.054076
604,0.302011000,40809,2550,2.054928
605,0.302510000,55981,3498,2.818911
606,0.303010000,58094,3630,2.925310
607,0.303510000,45050,2815,2.268482
608,0.304009000,26374,1648,1.328057
609,0.304509000,10978,686,0.552795
610,0.305008000,8322,520,0.419052
611,0.305508000,20741,1296,1.044408
612,0.306014000,40761,2547,2.052511
613,0.306514000,55885,3492,2.814076
614,0.307013000,57902,3618,2.915642
615,0.307513000,45691,2855,2.300760
616,0.308013000,26150,1634,1.316777
617,0.308512000,11202,700,0.564074
618,0.309012000,8626,539,0.434360
619,0.309512000,20949,1309,1.054882
620,0.310012000,40585,2536,2.043648
